# x y z w pot
-4.3813799905 8.4560270686 1.2996193196 1.4191489029 1
-4.5892968605 8.58124297 0.70000368944 3.1527484724 1
-4.3813799905 8.4560270686 2.6996266985 4.517385317 1
-5.4010533285 7.5101410731 2.3208870051 0.73362189869 1
-4.6038737298 6.4016663214 3.2750197952 2.4718707542 1
-4.6038737298 6.4016663214 1.8750124163 0.39227286818 1
-3.7347011798 7.2079423237 2.4044882188 2.2289092 1
-3.2724678271 6.315835784 2.193529012 1.3058975863 1
-3.2576777858 6.8980260831 2.5576740964 0.18267045286 1
-3.8217580414 8.0924475611 3.121754352 0.33161840772 1
-3.2545203308 9.1200459984 0.26551947882 2.1302417161 1
-3.2545203308 9.1200459984 1.6655268577 3.6163289362 1
-3.4277616544 6.4093599726 0.70000368944 0.94794840469 1
-3.2724678271 6.315835784 0.79352163311 0.45543566916 1
-3.9119301308 7.3146767261 0.70000368944 1.5877023245 1
-3.7347011798 7.2079423237 1.0044808399 0.73913858658 1
-1.4722336532 8.0294924557 0.77222996378 0.70821456708 1
-1.7442190432 8.1095864805 0.70000368944 1.2550544423 1
0.0 8.1095864805 1.0442153537 0.56982112916 1
-0.62777564535 8.2473928264 1.3277793348 1.130401269 1
0.0 8.2950402624 0.70000368944 0.34584809668 1
-2.7741626943 7.7739540109 1.5230184755 1.8008097744 1
-2.3734507543 7.5855887042 1.6734470649 0.43209393674 1
-2.0796954987 6.646741945 1.3796918093 0.27110788588 1
-2.4308124605 6.8117938129 1.4211562741 1.0640276035 1
-1.3596793969 6.3217046609 0.70000368944 0.49104239709 1
-1.5283420085 7.1058860055 0.70000368944 0.74933873818 1
-1.2900194774 7.0357049906 0.59001578793 0.4340639618 1
-0.72115258464 6.8117938129 1.7308087711 0.18440698547 1
-0.48937294556 6.4291294996 1.189376635 0.43518725378 1
-0.55007763758 7.2266364516 1.250081327 0.66941065468 1
0.0 7.1058860055 0.82833831904 0.35144226334 1
0.0 7.2683866999 0.70000368944 0.20649094384 1
0.0 6.4662723328 0.70000368944 0.13531371445 1
0.0 6.3217046609 0.65967570747 0.23774498623 1
-0.48937294556 6.4291294996 0.21063074388 0.30787649281 1
-1.2900194774 7.0357049906 1.9900231668 1.059626776 1
-0.82301478609 7.7739540109 2.0741590048 0.28995291644 1
-0.72115258464 6.8117938129 3.1308161499 1.3011834785 1
0.0 6.4093599726 2.727757965 0.044204720422 1
0.0 7.3146767261 3.2119264414 0.065355194153 1
0.0 7.1058860055 2.2283456979 1.0367912606 1
0.0 6.3217046609 2.0596830863 0.66692341236 1
-1.4935253225 6.315835784 2.5724641377 0.059776047241 1
-2.0796954987 6.646741945 2.7796991881 1.3138639553 1
-2.3734507543 7.5855887042 3.0734544437 2.2528431936 1
-1.7044845294 7.2079423237 3.0346974904 0.089558947006 1
-2.7844234766 8.8990644671 2.0844197872 0.81373754221 1
-1.4722336532 8.0294924557 2.1722373427 1.8050309254 1
0.0 8.1095864805 2.4442227326 1.7701582159 1
-0.96552316826 9.1200459984 2.5545166413 0.53817937171 1
-2.1599953673 11.780512195 1.4599916779 3.9569943738 1
-2.5590401664 11.898022566 0.70000368944 7.4543392126 1
-0.9210443483 12.100205873 1.6210480377 6.8449461319 1
0.0 12.17011206 0.70000368944 2.0541491602 1
-0.9210443483 12.100205873 0.22104065886 4.4799088993 1
-1.7271569421 9.4198319719 1.0271532527 1.3675177269 1
-2.0462377167 9.5137946052 0.70000368944 2.4921995231 1
-0.73647757039 9.6754626846 1.4364812598 2.2645344463 1
0.0 9.5137946052 1.3462340273 1.0929461498 1
0.0 9.7313604693 0.70000368944 0.68676101414 1
0.0 9.5137946052 2.7462414062 3.5888710166 1
-1.7271569421 9.4198319719 2.4271606316 3.6504528677 1
-2.1599953673 11.780512195 2.8599990568 11.160771124 1
-1.2074904831 11.405597619 3.3701237355 1.4859049929 1
0.0 11.898022566 1.8590364769 3.1375602721 1
0.0 11.898022566 3.2590438558 11.005845858 1
-5.4793865288 10.575170587 1.8007397755 4.0789088447 1
-5.7394089188 10.731766529 0.70000368944 9.4300862941 1
-5.4793865288 10.575170587 3.2007471544 13.847410862 1
-4.0701274249 11.405597619 0.50748679367 6.2655511025 1
-3.4822207892 11.129236466 2.7822170998 2.2858786133 1
-4.0701274249 11.405597619 1.9074941726 10.962820039 1
-4.9619088202 7.8578333025 8.5578369919 16.416627619 1
-4.9619088202 7.8578333025 7.157829613 0.0001744653346 1
-3.96759891 6.2832131697 6.9832168592 5.2799634038 1
-3.7779484575 9.392238499 7.454601308 16.307044493 1
-3.7779484575 6.7545976186 10.092242188 16.308045621 1
-1.2997901916 7.1866423019 10.435215317 16.409897582 1
-1.2997901916 9.735211628 7.8866459913 16.409888449 1
0.0 6.881110978 7.5811146675 5.3533935162 1
-2.0693429039 6.7237339526 7.423737642 5.3159646544 1
-2.5879356859 8.4087518826 9.108755572 16.528563835 1
0.0 8.6055687656 9.3055724551 16.644938825 1
-4.3813799905 1.9996230091 9.156030758 5.0775748447 1
-5.4010533285 3.0208906945 8.2101447625 5.2450409466 1
-4.6038737298 2.5750161058 7.1016700109 2.558960331 1
-2.8544842631 2.8544842631 6.7442806853 1.4539555371 1
-3.2545203308 0.96552316826 9.8200496878 4.6987472097 1
-3.2724678271 1.4935253225 7.0158394734 1.4370438343 1
-3.7347011798 1.7044845294 7.9079460132 2.4772566578 1
-4.8983515477 0.8859254474 7.3354374486 2.5749423276 1
-5.7465211871 1.0393270683 8.4843899899 5.2777988699 1
